0.91243	2.50191	2.00333	1.50513	1.00519	0.50469	0.00495
0.9661	2.50314	2.00608	1.51254	1.01133	0.50712	0.01008
1.01978	2.50536	2.0101	1.52439	1.02705	0.51858	0.02309
1.07345	2.50772	2.03652	1.56148	1.0932	0.56101	0.0804
1.12712	2.52177	2.15327	1.69233	1.31208	0.73257	0.31689
1.18079	2.57636	2.558	2.05585	1.79178	1.18361	0.83205
1.23447	2.77654	3	2.5	2	1.5	1
1.28814	3.23355	2.78039	2.36771	1.54987	1.14179	0.50333
1.34181	3.5	2.23348	1.80353	1.11019	0.6484	0.07602
1.39548	3.12404	2.03237	1.52831	1.02493	0.52371	0.0124
1.44916	2.6453	2.01035	1.51336	1.00951	0.50666	0.00764
1.50283	2.52021	2.00717	1.51089	1.0079	0.50682	0.00762
1.5565	2.5062	2.00484	1.5077	1.00868	0.50492	0.00764
1.61017	2.50665	2.00735	1.50811	1.01115	0.50808	0.00872
1.66385	2.50459	2.00873	1.5116	1.01436	0.5102	0.00935
1.71752	2.50695	2.0069	1.5098	1.01358	0.50956	0.01084
1.77119	2.50731	2.00605	1.51087	1.01097	0.50812	0.00623
1.82486	2.50471	2.00363	1.50553	1.00863	0.50759	0.00581
1.87854	2.50478	2.00332	1.50601	1.00369	0.50227	0.00281
1.93221	2.5024	2.00E+00	1.50188	1.00655	0.50535	0.00308
1.98588	2.50209	2.00248	1.50423	1.00412	0.50163	0.00182
2.03955	2.50144	2.00293	1.50262	1.00414	0.50415	0.00439
2.09323	2.50216	2.00266	1.50505	1.00375	0.50396	0.00608
2.1469	2.50143	2.00367	1.50394	1.00869	0.50579	0.00528
2.20057	2.5013	2.00591	1.50843	1.01355	0.51003	0.01491
2.25424	2.5022	2.01409	1.5124	1.03113	0.52587	0.03673
2.30792	2.50356	2.04089	1.52698	1.07482	0.56534	0.09065
2.36159	2.50714	2.10203	1.55883	1.14464	0.64432	0.18738
2.41526	2.51282	2.20389	1.61742	1.20892	0.73307	0.26914
2.46893	2.53076	2.28222	1.67301	1.2088	0.76007	0.25356
2.52261	2.57547	2.25499	1.67878	1.13566	0.69124	0.149
2.57628	2.65306	2.14265	1.62477	1.05235	0.58532	0.04808
2.62995	2.73058	2.04351	1.55243	1.01318	0.51953	0.00433
2.68362	2.74242	2.00745	1.50826	1.00622	0.50457	0.00184
2.7373	2.66949	2.00133	1.50673	1.00196	0.50316	0.00432
2.79097	2.57177	2.00333	1.50379	1.00163	0.50447	0.00352
2.84464	2.51552	2.00304	1.50336	1.00352	0.50109	0.00294
2.89831	2.50493	2.00222	1.50E+00	1.00437	0.504	0.00654
2.95199	2.50147	2.00147	1.50299	1.00283	0.50191	0.00593
3.00566	2.50E+00	2.00E+00	1.5024	1.00374	0.50212	0.00278								
								
								
								
								
								
								
								
								
								
								
								
								
								
