0	2.587	2.1069	1.6676	1.1666	0.6012	0.1592
0.05367	2.548	2.0572	1.5913	1.0892	0.5519	0.0874
0.10734	2.51E+00	2.01E+00	1.5192	1.01E+00	5.06E-01	0.0182
0.16102	2.51E+00	2.01E+00	1.5113	1.01E+00	5.04E-01	8.14E-03
0.21469	2.51E+00	2.0103	1.512	1.01E+00	5.07E-01	0.0118
0.26836	2.5133	2.0152	1.5211	1.017	0.5111	0.024
0.32203	2.5293	2.0349	1.5418	1.0398	0.528	0.0503
0.37571	2.5576	2.0715	1.5909	1.0888	0.5589	0.0947
0.42938	2.6011	2.1218	1.664	1.1621	0.6202	0.1741
0.48305	2.6296	2.1584	1.7424	1.2461	0.6713	0.228
0.53672	2.612	2.1266	1.7423	1.2555	0.6726	0.1991
0.5904	2.5708	2.0718	1.6519	1.1676	0.6098	0.1156
0.64407	2.5422	2.0248	1.5728	1.0816	0.5482	0.0486
0.69774	2.5271	2.011	1.5201	1.0244	0.5205	0.0161
0.75141	2.5171	2.01E+00	1.5207	1.01E+00	5.01E-01	0.0104
0.80509	2.5176	2.0142	1.511	1.01E+00	5.09E-01	8.68E-03
0.85876	2.5221	2.0144	1.5439	1.0289	0.5151	0.0237
