0	0.4342	0.2987	0.7345	0.2549
1	0.3502	0.2452	0.6367	0.2313
1.5	0.3949	0.2668	0.6564	0.2107
1.75	0.4355	0.3361	0.7663	0.2075
2	0.4193	0.2846	0.7976	0.2002
2.5	0.3616	0.2615	0.7519	0.2261
